Datetime;Resolution code;Control area;Physical Flow Value
2021-12-01T23:45:00+01:00;PT15M;Netherlands;-419.704
2021-12-01T23:45:00+01:00;PT15M;UnitedKingdom;1021.774
2021-12-01T23:45:00+01:00;PT15M;Luxembourg;-53.708
2021-12-01T23:45:00+01:00;PT15M;Germany;-1001.788
2021-12-01T23:45:00+01:00;PT15M;France;581.908
2021-12-01T23:30:00+01:00;PT15M;France;691.116
2021-12-01T23:30:00+01:00;PT15M;Netherlands;-494.816
2021-12-01T23:30:00+01:00;PT15M;Luxembourg;-57.983
2021-12-01T23:30:00+01:00;PT15M;UnitedKingdom;1023.455
2021-12-01T23:30:00+01:00;PT15M;Germany;-1002.104
2021-12-01T23:15:00+01:00;PT15M;France;523.224
2021-12-01T23:15:00+01:00;PT15M;UnitedKingdom;1023.362
2021-12-01T23:15:00+01:00;PT15M;Luxembourg;-24.082
2021-12-01T23:15:00+01:00;PT15M;Germany;-1001.796
2021-12-01T23:15:00+01:00;PT15M;Netherlands;-368.288
2021-12-01T23:00:00+01:00;PT15M;Netherlands;-480.8
2021-12-01T23:00:00+01:00;PT15M;UnitedKingdom;1022.415
2021-12-01T23:00:00+01:00;PT15M;France;483.944
2021-12-01T23:00:00+01:00;PT15M;Germany;-1001.716
2021-12-01T23:00:00+01:00;PT15M;Luxembourg;-9.66
2021-12-01T22:45:00+01:00;PT15M;France;634.868
2021-12-01T22:45:00+01:00;PT15M;UnitedKingdom;900.567
2021-12-01T22:45:00+01:00;PT15M;Germany;-994.56
2021-12-01T22:45:00+01:00;PT15M;Netherlands;-613.988
2021-12-01T22:45:00+01:00;PT15M;Luxembourg;2.907
2021-12-01T22:30:00+01:00;PT15M;Germany;-999.224
2021-12-01T22:30:00+01:00;PT15M;France;604.86
2021-12-01T22:30:00+01:00;PT15M;Netherlands;-664.408
2021-12-01T22:30:00+01:00;PT15M;Luxembourg;10.273
2021-12-01T22:30:00+01:00;PT15M;UnitedKingdom;899.155
2021-12-01T22:15:00+01:00;PT15M;Luxembourg;6.273
2021-12-01T22:15:00+01:00;PT15M;Netherlands;-673.276
2021-12-01T22:15:00+01:00;PT15M;Germany;-1001.764
2021-12-01T22:15:00+01:00;PT15M;UnitedKingdom;899.276
2021-12-01T22:15:00+01:00;PT15M;France;509.88
2021-12-01T22:00:00+01:00;PT15M;France;557.896
2021-12-01T22:00:00+01:00;PT15M;Luxembourg;-11.136
2021-12-01T22:00:00+01:00;PT15M;Germany;-955.804
2021-12-01T22:00:00+01:00;PT15M;Netherlands;-555.82
2021-12-01T22:00:00+01:00;PT15M;UnitedKingdom;900.437
2021-12-01T21:45:00+01:00;PT15M;Luxembourg;22.387
2021-12-01T21:45:00+01:00;PT15M;Germany;-919.788
2021-12-01T21:45:00+01:00;PT15M;Netherlands;-642.464
2021-12-01T21:45:00+01:00;PT15M;UnitedKingdom;1024.272
2021-12-01T21:45:00+01:00;PT15M;France;522.98
2021-12-01T21:30:00+01:00;PT15M;Germany;-833.116
2021-12-01T21:30:00+01:00;PT15M;Netherlands;-652.964
2021-12-01T21:30:00+01:00;PT15M;Luxembourg;5.864
2021-12-01T21:30:00+01:00;PT15M;UnitedKingdom;1025.628
2021-12-01T21:30:00+01:00;PT15M;France;602.276
2021-12-01T21:15:00+01:00;PT15M;Netherlands;-601.76
2021-12-01T21:15:00+01:00;PT15M;UnitedKingdom;1025.405
2021-12-01T21:15:00+01:00;PT15M;Germany;-854.224
2021-12-01T21:15:00+01:00;PT15M;Luxembourg;48.891
2021-12-01T21:15:00+01:00;PT15M;France;508.484
2021-12-01T21:00:00+01:00;PT15M;Germany;-849.232
2021-12-01T21:00:00+01:00;PT15M;France;570.068
2021-12-01T21:00:00+01:00;PT15M;UnitedKingdom;1025.554
2021-12-01T21:00:00+01:00;PT15M;Luxembourg;-10.537
2021-12-01T21:00:00+01:00;PT15M;Netherlands;-637.996
2021-12-01T20:45:00+01:00;PT15M;Netherlands;-521.952
2021-12-01T20:45:00+01:00;PT15M;Germany;-625.54
2021-12-01T20:45:00+01:00;PT15M;France;239.024
2021-12-01T20:45:00+01:00;PT15M;UnitedKingdom;1044.209
2021-12-01T20:45:00+01:00;PT15M;Luxembourg;13.1
2021-12-01T20:30:00+01:00;PT15M;France;398.004
2021-12-01T20:30:00+01:00;PT15M;Germany;-589.12
2021-12-01T20:30:00+01:00;PT15M;Luxembourg;-13.721
2021-12-01T20:30:00+01:00;PT15M;UnitedKingdom;1044.181
2021-12-01T20:30:00+01:00;PT15M;Netherlands;-717.344
2021-12-01T20:15:00+01:00;PT15M;UnitedKingdom;1044.32
2021-12-01T20:15:00+01:00;PT15M;Netherlands;-688.076
2021-12-01T20:15:00+01:00;PT15M;Luxembourg;-13.276
2021-12-01T20:15:00+01:00;PT15M;France;270.192
2021-12-01T20:15:00+01:00;PT15M;Germany;-600.396
2021-12-01T20:00:00+01:00;PT15M;Luxembourg;-38.499
2021-12-01T20:00:00+01:00;PT15M;France;341.068
2021-12-01T20:00:00+01:00;PT15M;Germany;-601.656
2021-12-01T20:00:00+01:00;PT15M;Netherlands;-729.34
2021-12-01T20:00:00+01:00;PT15M;UnitedKingdom;1044.209
2021-12-01T19:45:00+01:00;PT15M;Netherlands;-447.068
2021-12-01T19:45:00+01:00;PT15M;Germany;-666.628
2021-12-01T19:45:00+01:00;PT15M;Luxembourg;13.656
2021-12-01T19:45:00+01:00;PT15M;UnitedKingdom;1044.283
2021-12-01T19:45:00+01:00;PT15M;France;803.188
2021-12-01T19:30:00+01:00;PT15M;Germany;-671.96
2021-12-01T19:30:00+01:00;PT15M;Netherlands;-386.628
2021-12-01T19:30:00+01:00;PT15M;UnitedKingdom;1044.274
2021-12-01T19:30:00+01:00;PT15M;Luxembourg;-8.379
2021-12-01T19:30:00+01:00;PT15M;France;819.76
2021-12-01T19:15:00+01:00;PT15M;France;1008.808
2021-12-01T19:15:00+01:00;PT15M;Netherlands;-471.436
2021-12-01T19:15:00+01:00;PT15M;Germany;-655.76
2021-12-01T19:15:00+01:00;PT15M;UnitedKingdom;1044.292
2021-12-01T19:15:00+01:00;PT15M;Luxembourg;-66.424
2021-12-01T19:00:00+01:00;PT15M;France;1106.14
2021-12-01T19:00:00+01:00;PT15M;UnitedKingdom;1044.292
2021-12-01T19:00:00+01:00;PT15M;Luxembourg;-75.357
2021-12-01T19:00:00+01:00;PT15M;Germany;-685.948
2021-12-01T19:00:00+01:00;PT15M;Netherlands;-594.2
2021-12-01T18:45:00+01:00;PT15M;Luxembourg;-43.344
2021-12-01T18:45:00+01:00;PT15M;Germany;-857.436
2021-12-01T18:45:00+01:00;PT15M;France;1707.232
2021-12-01T18:45:00+01:00;PT15M;UnitedKingdom;1044.283
2021-12-01T18:45:00+01:00;PT15M;Netherlands;-841.22
2021-12-01T18:30:00+01:00;PT15M;Luxembourg;-40.157
2021-12-01T18:30:00+01:00;PT15M;Netherlands;-752.024
2021-12-01T18:30:00+01:00;PT15M;Germany;-978.544
2021-12-01T18:30:00+01:00;PT15M;UnitedKingdom;1044.302
2021-12-01T18:30:00+01:00;PT15M;France;1587.952
2021-12-01T18:15:00+01:00;PT15M;France;1466.828
2021-12-01T18:15:00+01:00;PT15M;Netherlands;-691.932
2021-12-01T18:15:00+01:00;PT15M;Luxembourg;18.777
2021-12-01T18:15:00+01:00;PT15M;Germany;-997.728
2021-12-01T18:15:00+01:00;PT15M;UnitedKingdom;1044.237
2021-12-01T18:00:00+01:00;PT15M;Germany;-1001.64
2021-12-01T18:00:00+01:00;PT15M;France;1263.34
2021-12-01T18:00:00+01:00;PT15M;Luxembourg;7.363
2021-12-01T18:00:00+01:00;PT15M;Netherlands;-638.388
2021-12-01T18:00:00+01:00;PT15M;UnitedKingdom;1044.19
2021-12-01T17:45:00+01:00;PT15M;Netherlands;-563.2
2021-12-01T17:45:00+01:00;PT15M;Luxembourg;-18.774
2021-12-01T17:45:00+01:00;PT15M;France;1147.212
2021-12-01T17:45:00+01:00;PT15M;UnitedKingdom;1044.33
2021-12-01T17:45:00+01:00;PT15M;Germany;-1002.032
2021-12-01T17:30:00+01:00;PT15M;UnitedKingdom;1044.2
2021-12-01T17:30:00+01:00;PT15M;France;1190.312
2021-12-01T17:30:00+01:00;PT15M;Luxembourg;29.433
2021-12-01T17:30:00+01:00;PT15M;Netherlands;-566.828
2021-12-01T17:30:00+01:00;PT15M;Germany;-1001.632
2021-12-01T17:15:00+01:00;PT15M;Netherlands;-511.644
2021-12-01T17:15:00+01:00;PT15M;Luxembourg;25.606
2021-12-01T17:15:00+01:00;PT15M;France;1314.68
2021-12-01T17:15:00+01:00;PT15M;UnitedKingdom;1044.172
2021-12-01T17:15:00+01:00;PT15M;Germany;-1001.612
2021-12-01T17:00:00+01:00;PT15M;Luxembourg;17.017
2021-12-01T17:00:00+01:00;PT15M;UnitedKingdom;1041.813
2021-12-01T17:00:00+01:00;PT15M;Germany;-972.84
2021-12-01T17:00:00+01:00;PT15M;Netherlands;-253.86
2021-12-01T17:00:00+01:00;PT15M;France;1061.776
2021-12-01T16:45:00+01:00;PT15M;UnitedKingdom;871.743
2021-12-01T16:45:00+01:00;PT15M;France;452.284
2021-12-01T16:45:00+01:00;PT15M;Netherlands;155.896
2021-12-01T16:45:00+01:00;PT15M;Luxembourg;51.726
2021-12-01T16:45:00+01:00;PT15M;Germany;-750.276
2021-12-01T16:30:00+01:00;PT15M;France;279.008
2021-12-01T16:30:00+01:00;PT15M;UnitedKingdom;869.208
2021-12-01T16:30:00+01:00;PT15M;Luxembourg;99.956
2021-12-01T16:30:00+01:00;PT15M;Netherlands;349.296
2021-12-01T16:30:00+01:00;PT15M;Germany;-719.888
2021-12-01T16:15:00+01:00;PT15M;Luxembourg;104.597
2021-12-01T16:15:00+01:00;PT15M;Netherlands;285.92
2021-12-01T16:15:00+01:00;PT15M;Germany;-699.236
2021-12-01T16:15:00+01:00;PT15M;UnitedKingdom;869.236
2021-12-01T16:15:00+01:00;PT15M;France;380.408
2021-12-01T16:00:00+01:00;PT15M;Germany;-671.348
2021-12-01T16:00:00+01:00;PT15M;UnitedKingdom;869.543
2021-12-01T16:00:00+01:00;PT15M;Luxembourg;143.025
2021-12-01T16:00:00+01:00;PT15M;Netherlands;304.228
2021-12-01T16:00:00+01:00;PT15M;France;299.608
2021-12-01T15:45:00+01:00;PT15M;Netherlands;283.36
2021-12-01T15:45:00+01:00;PT15M;Luxembourg;84.875
2021-12-01T15:45:00+01:00;PT15M;UnitedKingdom;925.945
2021-12-01T15:45:00+01:00;PT15M;France;-322.42
2021-12-01T15:45:00+01:00;PT15M;Germany;-519.664
2021-12-01T15:30:00+01:00;PT15M;Netherlands;261.972
2021-12-01T15:30:00+01:00;PT15M;Germany;-501.404
2021-12-01T15:30:00+01:00;PT15M;UnitedKingdom;926.084
2021-12-01T15:30:00+01:00;PT15M;France;-356.38
2021-12-01T15:30:00+01:00;PT15M;Luxembourg;77.168
2021-12-01T15:15:00+01:00;PT15M;Germany;-499.612
2021-12-01T15:15:00+01:00;PT15M;Luxembourg;72.638
2021-12-01T15:15:00+01:00;PT15M;Netherlands;286.636
2021-12-01T15:15:00+01:00;PT15M;France;-338.7
2021-12-01T15:15:00+01:00;PT15M;UnitedKingdom;926.065
2021-12-01T15:00:00+01:00;PT15M;Netherlands;195.584
2021-12-01T15:00:00+01:00;PT15M;France;-199.94
2021-12-01T15:00:00+01:00;PT15M;Luxembourg;57.917
2021-12-01T15:00:00+01:00;PT15M;UnitedKingdom;926.149
2021-12-01T15:00:00+01:00;PT15M;Germany;-503.444
2021-12-01T14:45:00+01:00;PT15M;France;-126.336
2021-12-01T14:45:00+01:00;PT15M;Luxembourg;100.563
2021-12-01T14:45:00+01:00;PT15M;UnitedKingdom;909.537
2021-12-01T14:45:00+01:00;PT15M;Netherlands;407.444
2021-12-01T14:45:00+01:00;PT15M;Germany;-579.324
2021-12-01T14:30:00+01:00;PT15M;France;-130.436
2021-12-01T14:30:00+01:00;PT15M;Germany;-586.464
2021-12-01T14:30:00+01:00;PT15M;Luxembourg;80.651
2021-12-01T14:30:00+01:00;PT15M;Netherlands;452.832
2021-12-01T14:30:00+01:00;PT15M;UnitedKingdom;909.732
2021-12-01T14:15:00+01:00;PT15M;UnitedKingdom;909.509
2021-12-01T14:15:00+01:00;PT15M;Netherlands;442.576
2021-12-01T14:15:00+01:00;PT15M;Germany;-586.444
2021-12-01T14:15:00+01:00;PT15M;Luxembourg;59.058
2021-12-01T14:15:00+01:00;PT15M;France;-139.196
2021-12-01T14:00:00+01:00;PT15M;Netherlands;209.672
2021-12-01T14:00:00+01:00;PT15M;Germany;-595.22
2021-12-01T14:00:00+01:00;PT15M;France;10.344
2021-12-01T14:00:00+01:00;PT15M;Luxembourg;51.988
2021-12-01T14:00:00+01:00;PT15M;UnitedKingdom;903.696
2021-12-01T13:45:00+01:00;PT15M;France;142.604
2021-12-01T13:45:00+01:00;PT15M;Luxembourg;70.22
2021-12-01T13:45:00+01:00;PT15M;UnitedKingdom;641.966
2021-12-01T13:45:00+01:00;PT15M;Germany;-684.656
2021-12-01T13:45:00+01:00;PT15M;Netherlands;387.836
2021-12-01T13:30:00+01:00;PT15M;Netherlands;470.296
2021-12-01T13:30:00+01:00;PT15M;France;67.804
2021-12-01T13:30:00+01:00;PT15M;Luxembourg;56.583
2021-12-01T13:30:00+01:00;PT15M;UnitedKingdom;635.874
2021-12-01T13:30:00+01:00;PT15M;Germany;-693.368
2021-12-01T13:15:00+01:00;PT15M;UnitedKingdom;635.967
2021-12-01T13:15:00+01:00;PT15M;Germany;-693.008
2021-12-01T13:15:00+01:00;PT15M;France;-46.812
2021-12-01T13:15:00+01:00;PT15M;Netherlands;568.4
2021-12-01T13:15:00+01:00;PT15M;Luxembourg;66.084
2021-12-01T13:00:00+01:00;PT15M;Germany;-687.952
2021-12-01T13:00:00+01:00;PT15M;UnitedKingdom;636.376
2021-12-01T13:00:00+01:00;PT15M;France;-58.82
2021-12-01T13:00:00+01:00;PT15M;Netherlands;562.676
2021-12-01T13:00:00+01:00;PT15M;Luxembourg;69.53
2021-12-01T12:45:00+01:00;PT15M;France;-37.176
2021-12-01T12:45:00+01:00;PT15M;Germany;-639.668
2021-12-01T12:45:00+01:00;PT15M;UnitedKingdom;724.517
2021-12-01T12:45:00+01:00;PT15M;Netherlands;425.76
2021-12-01T12:45:00+01:00;PT15M;Luxembourg;106.882
2021-12-01T12:30:00+01:00;PT15M;Germany;-634.78
2021-12-01T12:30:00+01:00;PT15M;Luxembourg;81.764
2021-12-01T12:30:00+01:00;PT15M;Netherlands;366.26
2021-12-01T12:30:00+01:00;PT15M;France;143.756
2021-12-01T12:30:00+01:00;PT15M;UnitedKingdom;725.13
2021-12-01T12:15:00+01:00;PT15M;Germany;-633.32
2021-12-01T12:15:00+01:00;PT15M;Netherlands;418.764
2021-12-01T12:15:00+01:00;PT15M;UnitedKingdom;725.12
2021-12-01T12:15:00+01:00;PT15M;Luxembourg;99.292
2021-12-01T12:15:00+01:00;PT15M;France;177.212
2021-12-01T12:00:00+01:00;PT15M;Netherlands;352.292
2021-12-01T12:00:00+01:00;PT15M;UnitedKingdom;728.036
2021-12-01T12:00:00+01:00;PT15M;Germany;-573.996
2021-12-01T12:00:00+01:00;PT15M;Luxembourg;117.089
