Datetime;Resolution code;Control area;Physical Flow Value
2021-12-01T12:00:00+01:00;PT15M;France;302.332
2021-12-01T11:45:00+01:00;PT15M;UnitedKingdom;914.895
2021-12-01T11:45:00+01:00;PT15M;Germany;-745.244
2021-12-01T11:45:00+01:00;PT15M;France;77.172
2021-12-01T11:45:00+01:00;PT15M;Netherlands;413.28
2021-12-01T11:45:00+01:00;PT15M;Luxembourg;132.781
2021-12-01T11:30:00+01:00;PT15M;UnitedKingdom;917.894
2021-12-01T11:30:00+01:00;PT15M;France;43.496
2021-12-01T11:30:00+01:00;PT15M;Netherlands;442.192
2021-12-01T11:30:00+01:00;PT15M;Germany;-751.944
2021-12-01T11:30:00+01:00;PT15M;Luxembourg;122.803
2021-12-01T11:15:00+01:00;PT15M;France;-103.884
2021-12-01T11:15:00+01:00;PT15M;Netherlands;535.164
2021-12-01T11:15:00+01:00;PT15M;UnitedKingdom;917.829
2021-12-01T11:15:00+01:00;PT15M;Germany;-770.288
2021-12-01T11:15:00+01:00;PT15M;Luxembourg;116.405
2021-12-01T11:00:00+01:00;PT15M;Germany;-762.364
2021-12-01T11:00:00+01:00;PT15M;France;-92.28
2021-12-01T11:00:00+01:00;PT15M;Luxembourg;103.785
2021-12-01T11:00:00+01:00;PT15M;Netherlands;430.44
2021-12-01T11:00:00+01:00;PT15M;UnitedKingdom;916.919
2021-12-01T10:45:00+01:00;PT15M;France;-264.568
2021-12-01T10:45:00+01:00;PT15M;UnitedKingdom;803.53
2021-12-01T10:45:00+01:00;PT15M;Netherlands;535.644
2021-12-01T10:45:00+01:00;PT15M;Luxembourg;120.385
2021-12-01T10:45:00+01:00;PT15M;Germany;-665.2
2021-12-01T10:30:00+01:00;PT15M;Netherlands;522.36
2021-12-01T10:30:00+01:00;PT15M;UnitedKingdom;802.295
2021-12-01T10:30:00+01:00;PT15M;Luxembourg;96.243
2021-12-01T10:30:00+01:00;PT15M;France;-126.724
2021-12-01T10:30:00+01:00;PT15M;Germany;-649.604
2021-12-01T10:15:00+01:00;PT15M;France;-37.768
2021-12-01T10:15:00+01:00;PT15M;Germany;-655.772
2021-12-01T10:15:00+01:00;PT15M;Netherlands;380.816
2021-12-01T10:15:00+01:00;PT15M;UnitedKingdom;802.415
2021-12-01T10:15:00+01:00;PT15M;Luxembourg;93.464
2021-12-01T10:00:00+01:00;PT15M;Germany;-642.64
2021-12-01T10:00:00+01:00;PT15M;Netherlands;410.64
2021-12-01T10:00:00+01:00;PT15M;France;-89.396
2021-12-01T10:00:00+01:00;PT15M;Luxembourg;75.488
2021-12-01T10:00:00+01:00;PT15M;UnitedKingdom;804.3
2021-12-01T09:45:00+01:00;PT15M;UnitedKingdom;959.216
2021-12-01T09:45:00+01:00;PT15M;France;-538.028
2021-12-01T09:45:00+01:00;PT15M;Netherlands;389.272
2021-12-01T09:45:00+01:00;PT15M;Germany;-513.532
2021-12-01T09:45:00+01:00;PT15M;Luxembourg;100.737
2021-12-01T09:30:00+01:00;PT15M;UnitedKingdom;961.407
2021-12-01T09:30:00+01:00;PT15M;Netherlands;284.82
2021-12-01T09:30:00+01:00;PT15M;France;-477.84
2021-12-01T09:30:00+01:00;PT15M;Luxembourg;97.745
2021-12-01T09:30:00+01:00;PT15M;Germany;-501.276
2021-12-01T09:15:00+01:00;PT15M;France;-457.568
2021-12-01T09:15:00+01:00;PT15M;Luxembourg;107.821
2021-12-01T09:15:00+01:00;PT15M;UnitedKingdom;961.277
2021-12-01T09:15:00+01:00;PT15M;Germany;-501.28
2021-12-01T09:15:00+01:00;PT15M;Netherlands;329.552
2021-12-01T09:00:00+01:00;PT15M;Netherlands;259.304
2021-12-01T09:00:00+01:00;PT15M;France;-400.184
2021-12-01T09:00:00+01:00;PT15M;Germany;-511.74
2021-12-01T09:00:00+01:00;PT15M;Luxembourg;98.108
2021-12-01T09:00:00+01:00;PT15M;UnitedKingdom;935.166
2021-12-01T08:45:00+01:00;PT15M;France;-96.548
2021-12-01T08:45:00+01:00;PT15M;UnitedKingdom;417.138
2021-12-01T08:45:00+01:00;PT15M;Netherlands;651.86
2021-12-01T08:45:00+01:00;PT15M;Germany;-614.928
2021-12-01T08:45:00+01:00;PT15M;Luxembourg;94.702
2021-12-01T08:30:00+01:00;PT15M;UnitedKingdom;390.849
2021-12-01T08:30:00+01:00;PT15M;France;-29.56
2021-12-01T08:30:00+01:00;PT15M;Germany;-624.604
2021-12-01T08:30:00+01:00;PT15M;Netherlands;744.98
2021-12-01T08:30:00+01:00;PT15M;Luxembourg;87.078
2021-12-01T08:15:00+01:00;PT15M;Luxembourg;103.501
2021-12-01T08:15:00+01:00;PT15M;UnitedKingdom;390.729
2021-12-01T08:15:00+01:00;PT15M;France;-59.068
2021-12-01T08:15:00+01:00;PT15M;Germany;-624.016
2021-12-01T08:15:00+01:00;PT15M;Netherlands;851.344
2021-12-01T08:00:00+01:00;PT15M;Germany;-596.836
2021-12-01T08:00:00+01:00;PT15M;France;163.232
2021-12-01T08:00:00+01:00;PT15M;Luxembourg;131.588
2021-12-01T08:00:00+01:00;PT15M;Netherlands;808.096
2021-12-01T08:00:00+01:00;PT15M;UnitedKingdom;417.574
2021-12-01T07:45:00+01:00;PT15M;Luxembourg;97.316
2021-12-01T07:45:00+01:00;PT15M;France;-334.328
2021-12-01T07:45:00+01:00;PT15M;Germany;-537.172
2021-12-01T07:45:00+01:00;PT15M;UnitedKingdom;944.052
2021-12-01T07:45:00+01:00;PT15M;Netherlands;499.688
2021-12-01T07:30:00+01:00;PT15M;France;-509.344
2021-12-01T07:30:00+01:00;PT15M;Germany;-538.348
2021-12-01T07:30:00+01:00;PT15M;Netherlands;548.964
2021-12-01T07:30:00+01:00;PT15M;UnitedKingdom;971.529
2021-12-01T07:30:00+01:00;PT15M;Luxembourg;93.632
2021-12-01T07:15:00+01:00;PT15M;Germany;-522.304
2021-12-01T07:15:00+01:00;PT15M;UnitedKingdom;971.566
2021-12-01T07:15:00+01:00;PT15M;Luxembourg;96.927
2021-12-01T07:15:00+01:00;PT15M;France;-393.332
2021-12-01T07:15:00+01:00;PT15M;Netherlands;598.672
2021-12-01T07:00:00+01:00;PT15M;Germany;-534.096
2021-12-01T07:00:00+01:00;PT15M;Luxembourg;111.415
2021-12-01T07:00:00+01:00;PT15M;France;-242.596
2021-12-01T07:00:00+01:00;PT15M;Netherlands;572.216
2021-12-01T07:00:00+01:00;PT15M;UnitedKingdom;970.804
2021-12-01T06:45:00+01:00;PT15M;UnitedKingdom;867.008
2021-12-01T06:45:00+01:00;PT15M;France;582.248
2021-12-01T06:45:00+01:00;PT15M;Luxembourg;146.281
2021-12-01T06:45:00+01:00;PT15M;Germany;-947.164
2021-12-01T06:45:00+01:00;PT15M;Netherlands;714.06
2021-12-01T06:30:00+01:00;PT15M;UnitedKingdom;866.348
2021-12-01T06:30:00+01:00;PT15M;Netherlands;799.824
2021-12-01T06:30:00+01:00;PT15M;Germany;-999.3
2021-12-01T06:30:00+01:00;PT15M;France;557.348
2021-12-01T06:30:00+01:00;PT15M;Luxembourg;151.044
2021-12-01T06:15:00+01:00;PT15M;France;675.092
2021-12-01T06:15:00+01:00;PT15M;Germany;-962.884
2021-12-01T06:15:00+01:00;PT15M;Netherlands;708.544
2021-12-01T06:15:00+01:00;PT15M;UnitedKingdom;866.237
2021-12-01T06:15:00+01:00;PT15M;Luxembourg;162.69
2021-12-01T06:00:00+01:00;PT15M;France;698.708
2021-12-01T06:00:00+01:00;PT15M;Netherlands;675.628
2021-12-01T06:00:00+01:00;PT15M;Luxembourg;170.732
2021-12-01T06:00:00+01:00;PT15M;Germany;-976.412
2021-12-01T06:00:00+01:00;PT15M;UnitedKingdom;839.782
2021-12-01T05:45:00+01:00;PT15M;Germany;-811.148
2021-12-01T05:45:00+01:00;PT15M;Netherlands;682.616
2021-12-01T05:45:00+01:00;PT15M;France;690.228
2021-12-01T05:45:00+01:00;PT15M;Luxembourg;169.063
2021-12-01T05:45:00+01:00;PT15M;UnitedKingdom;321.577
2021-12-01T05:30:00+01:00;PT15M;Germany;-724.032
2021-12-01T05:30:00+01:00;PT15M;Netherlands;782.108
2021-12-01T05:30:00+01:00;PT15M;Luxembourg;189.511
2021-12-01T05:30:00+01:00;PT15M;France;609.42
2021-12-01T05:30:00+01:00;PT15M;UnitedKingdom;295.159
2021-12-01T05:15:00+01:00;PT15M;France;638.148
2021-12-01T05:15:00+01:00;PT15M;UnitedKingdom;295.168
2021-12-01T05:15:00+01:00;PT15M;Netherlands;781.156
2021-12-01T05:15:00+01:00;PT15M;Germany;-704.62
2021-12-01T05:15:00+01:00;PT15M;Luxembourg;164.183
2021-12-01T05:00:00+01:00;PT15M;Luxembourg;176.321
2021-12-01T05:00:00+01:00;PT15M;France;601.524
2021-12-01T05:00:00+01:00;PT15M;UnitedKingdom;293.116
2021-12-01T05:00:00+01:00;PT15M;Germany;-695.62
2021-12-01T05:00:00+01:00;PT15M;Netherlands;880.152
2021-12-01T04:45:00+01:00;PT15M;UnitedKingdom;139.306
2021-12-01T04:45:00+01:00;PT15M;Luxembourg;219.52
2021-12-01T04:45:00+01:00;PT15M;Germany;-630.172
2021-12-01T04:45:00+01:00;PT15M;France;672.024
2021-12-01T04:45:00+01:00;PT15M;Netherlands;1169.264
2021-12-01T04:30:00+01:00;PT15M;Luxembourg;212.867
2021-12-01T04:30:00+01:00;PT15M;France;657.84
2021-12-01T04:30:00+01:00;PT15M;Netherlands;1218.38
2021-12-01T04:30:00+01:00;PT15M;Germany;-621.348
2021-12-01T04:30:00+01:00;PT15M;UnitedKingdom;137.272
2021-12-01T04:15:00+01:00;PT15M;France;652.892
2021-12-01T04:15:00+01:00;PT15M;UnitedKingdom;137.282
2021-12-01T04:15:00+01:00;PT15M;Luxembourg;208.609
2021-12-01T04:15:00+01:00;PT15M;Germany;-603.264
2021-12-01T04:15:00+01:00;PT15M;Netherlands;1177.016
2021-12-01T04:00:00+01:00;PT15M;Luxembourg;205.319
2021-12-01T04:00:00+01:00;PT15M;UnitedKingdom;143.067
2021-12-01T04:00:00+01:00;PT15M;Germany;-508.516
2021-12-01T04:00:00+01:00;PT15M;France;867.232
2021-12-01T04:00:00+01:00;PT15M;Netherlands;1087.088
2021-12-01T03:45:00+01:00;PT15M;Netherlands;957.32
2021-12-01T03:45:00+01:00;PT15M;France;938.624
2021-12-01T03:45:00+01:00;PT15M;Germany;-708.664
2021-12-01T03:45:00+01:00;PT15M;UnitedKingdom;403.785
2021-12-01T03:45:00+01:00;PT15M;Luxembourg;195.455
2021-12-01T03:30:00+01:00;PT15M;France;990.072
2021-12-01T03:30:00+01:00;PT15M;UnitedKingdom;409.978
2021-12-01T03:30:00+01:00;PT15M;Germany;-708.232
2021-12-01T03:30:00+01:00;PT15M;Luxembourg;194.311
2021-12-01T03:30:00+01:00;PT15M;Netherlands;904.012
2021-12-01T03:15:00+01:00;PT15M;Germany;-703.696
2021-12-01T03:15:00+01:00;PT15M;Luxembourg;189.242
2021-12-01T03:15:00+01:00;PT15M;Netherlands;1040.688
2021-12-01T03:15:00+01:00;PT15M;France;834.716
2021-12-01T03:15:00+01:00;PT15M;UnitedKingdom;410.043
2021-12-01T03:00:00+01:00;PT15M;Luxembourg;160.857
2021-12-01T03:00:00+01:00;PT15M;France;1017.212
2021-12-01T03:00:00+01:00;PT15M;Germany;-728.208
2021-12-01T03:00:00+01:00;PT15M;UnitedKingdom;438.922
2021-12-01T03:00:00+01:00;PT15M;Netherlands;904.68
2021-12-01T02:45:00+01:00;PT15M;France;910.556
2021-12-01T02:45:00+01:00;PT15M;Luxembourg;101.179
2021-12-01T02:45:00+01:00;PT15M;UnitedKingdom;982.467
2021-12-01T02:45:00+01:00;PT15M;Netherlands;772.856
2021-12-01T02:45:00+01:00;PT15M;Germany;-977.796
2021-12-01T02:30:00+01:00;PT15M;France;960.544
2021-12-01T02:30:00+01:00;PT15M;UnitedKingdom;1012.043
2021-12-01T02:30:00+01:00;PT15M;Netherlands;736.916
2021-12-01T02:30:00+01:00;PT15M;Luxembourg;101.866
2021-12-01T02:30:00+01:00;PT15M;Germany;-1001.216
2021-12-01T02:15:00+01:00;PT15M;Germany;-990.36
2021-12-01T02:15:00+01:00;PT15M;Netherlands;724.464
2021-12-01T02:15:00+01:00;PT15M;Luxembourg;101.619
2021-12-01T02:15:00+01:00;PT15M;UnitedKingdom;1011.996
2021-12-01T02:15:00+01:00;PT15M;France;938.5
2021-12-01T02:00:00+01:00;PT15M;Germany;-960.876
2021-12-01T02:00:00+01:00;PT15M;Luxembourg;67.886
2021-12-01T02:00:00+01:00;PT15M;Netherlands;719.536
2021-12-01T02:00:00+01:00;PT15M;UnitedKingdom;1012.061
2021-12-01T02:00:00+01:00;PT15M;France;949.948
2021-12-01T01:45:00+01:00;PT15M;Germany;-574.2
2021-12-01T01:45:00+01:00;PT15M;Netherlands;368.392
2021-12-01T01:45:00+01:00;PT15M;Luxembourg;47.963
2021-12-01T01:45:00+01:00;PT15M;UnitedKingdom;1023.427
2021-12-01T01:45:00+01:00;PT15M;France;764.396
2021-12-01T01:30:00+01:00;PT15M;Netherlands;192.156
2021-12-01T01:30:00+01:00;PT15M;Luxembourg;12.14
2021-12-01T01:30:00+01:00;PT15M;UnitedKingdom;1023.344
2021-12-01T01:30:00+01:00;PT15M;Germany;-540.628
2021-12-01T01:30:00+01:00;PT15M;France;869.84
2021-12-01T01:15:00+01:00;PT15M;France;799.66
2021-12-01T01:15:00+01:00;PT15M;Germany;-536.792
2021-12-01T01:15:00+01:00;PT15M;Luxembourg;19.413
2021-12-01T01:15:00+01:00;PT15M;Netherlands;265.352
2021-12-01T01:15:00+01:00;PT15M;UnitedKingdom;1023.529
2021-12-01T01:00:00+01:00;PT15M;Germany;-476.668
2021-12-01T01:00:00+01:00;PT15M;Netherlands;241.36
2021-12-01T01:00:00+01:00;PT15M;France;697.256
2021-12-01T01:00:00+01:00;PT15M;UnitedKingdom;1023.362
2021-12-01T01:00:00+01:00;PT15M;Luxembourg;14.55
2021-12-01T00:45:00+01:00;PT15M;Netherlands;-381.348
2021-12-01T00:45:00+01:00;PT15M;France;635.24
2021-12-01T00:45:00+01:00;PT15M;UnitedKingdom;1023.566
2021-12-01T00:45:00+01:00;PT15M;Germany;181.624
2021-12-01T00:45:00+01:00;PT15M;Luxembourg;-46.478
2021-12-01T00:30:00+01:00;PT15M;UnitedKingdom;1023.483
2021-12-01T00:30:00+01:00;PT15M;France;598.724
2021-12-01T00:30:00+01:00;PT15M;Luxembourg;-17.605
2021-12-01T00:30:00+01:00;PT15M;Netherlands;-476.312
2021-12-01T00:30:00+01:00;PT15M;Germany;205.84
2021-12-01T00:15:00+01:00;PT15M;UnitedKingdom;1023.585
2021-12-01T00:15:00+01:00;PT15M;Luxembourg;-47.253
2021-12-01T00:15:00+01:00;PT15M;Netherlands;-621.188
2021-12-01T00:15:00+01:00;PT15M;Germany;205.1
2021-12-01T00:15:00+01:00;PT15M;France;741.508
2021-12-01T00:00:00+01:00;PT15M;Germany;103.704
2021-12-01T00:00:00+01:00;PT15M;France;501.428
2021-12-01T00:00:00+01:00;PT15M;Netherlands;-299.016
2021-12-01T00:00:00+01:00;PT15M;UnitedKingdom;1022.926
2021-12-01T00:00:00+01:00;PT15M;Luxembourg;-78.695
